[AddictionAndRecovery; inCodeSet; _CategoryCodeSet_Services_Main]
[Fertility; inCodeSet; _CategoryCodeSet_Services_Main]
[FinancialAssistance; inCodeSet; _CategoryCodeSet_Services_Main]
[FinancialEducation; inCodeSet; _CategoryCodeSet_Services_Main]
[FoodDelivery; inCodeSet; _CategoryCodeSet_Services_Main]
[FoodPantry; inCodeSet; _CategoryCodeSet_Services_Main]
[GedHighSchoolEquivalency; inCodeSet; _CategoryCodeSet_Services_Main]
[GovernmentBenefits; inCodeSet; _CategoryCodeSet_Services_Main]
[GroupTherapy; inCodeSet; _CategoryCodeSet_Services_Main]
[HealthEducation; inCodeSet; _CategoryCodeSet_Services_Main]
[HearingTests; inCodeSet; _CategoryCodeSet_Services_Main]
[HelpFillOutForms; inCodeSet; _CategoryCodeSet_Services_Main]
[HelpFindChildcare; inCodeSet; _CategoryCodeSet_Services_Main]
[HelpFindHealthcare; inCodeSet; _CategoryCodeSet_Services_Main]
[HelpFindHousing; inCodeSet; _CategoryCodeSet_Services_Main]
[HelpFindSchool; inCodeSet; _CategoryCodeSet_Services_Main]
[HelpFindWork; inCodeSet; _CategoryCodeSet_Services_Main]
[HelpHotlines; inCodeSet; _CategoryCodeSet_Services_Main]
[HelpPayForHousing; inCodeSet; _CategoryCodeSet_Services_Main]
[HelpPayForSchool; inCodeSet; _CategoryCodeSet_Services_Main]
[HelpPayForUtilities; inCodeSet; _CategoryCodeSet_Services_Main]
[HivTreatment; inCodeSet; _CategoryCodeSet_Services_Main]
[HomeGoods; inCodeSet; _CategoryCodeSet_Services_Main]
[HomeVisiting; inCodeSet; _CategoryCodeSet_Services_Main]
[Hospice; inCodeSet; _CategoryCodeSet_Services_Main]
[HospitalTreatment; inCodeSet; _CategoryCodeSet_Services_Main]
[HousingAdvice; inCodeSet; _CategoryCodeSet_Services_Main]
[ImmediateSafety; inCodeSet; _CategoryCodeSet_Services_Main]
[IndividualCounseling; inCodeSet; _CategoryCodeSet_Services_Main]
[InHomeSupport; inCodeSet; _CategoryCodeSet_Services_Main]
[InterviewTraining; inCodeSet; _CategoryCodeSet_Services_Main]
[JobPlacement; inCodeSet; _CategoryCodeSet_Services_Main]
[LongTermHousing; inCodeSet; _CategoryCodeSet_Services_Main]
[MaternityCare; inCodeSet; _CategoryCodeSet_Services_Main]
[Meals; inCodeSet; _CategoryCodeSet_Services_Main]
[MedicalCare; inCodeSet; _CategoryCodeSet_Services_Main]
[MedicationManagement; inCodeSet; _CategoryCodeSet_Services_Main]
[MedicationsForAddiction; inCodeSet; _CategoryCodeSet_Services_Main]
[MedicationsForMentalHealth; inCodeSet; _CategoryCodeSet_Services_Main]
[MentalHealthCare; inCodeSet; _CategoryCodeSet_Services_Main]
[MentalHealthEvaluation; inCodeSet; _CategoryCodeSet_Services_Main]
[Mentoring; inCodeSet; _CategoryCodeSet_Services_Main]
[MoreEducation; inCodeSet; _CategoryCodeSet_Services_Main]
[NavigatingTheSystem; inCodeSet; _CategoryCodeSet_Services_Main]
[NutritionEducation; inCodeSet; _CategoryCodeSet_Services_Main]
[OccupationalTherapy; inCodeSet; _CategoryCodeSet_Services_Main]
[OneOnOneSupport; inCodeSet; _CategoryCodeSet_Services_Main]
[OutpatientTreatment; inCodeSet; _CategoryCodeSet_Services_Main]
[OvernightCamp; inCodeSet; _CategoryCodeSet_Services_Main]
[PainManagement; inCodeSet; _CategoryCodeSet_Services_Main]
[ParentingEducation; inCodeSet; _CategoryCodeSet_Services_Main]
[PeerRecoveryCoaching; inCodeSet; _CategoryCodeSet_Services_Main]
[PeerSupport; inCodeSet; _CategoryCodeSet_Services_Main]
[PersonalCareItems; inCodeSet; _CategoryCodeSet_Services_Main]
[PersonalHygiene; inCodeSet; _CategoryCodeSet_Services_Main]
[PhysicalTherapy; inCodeSet; _CategoryCodeSet_Services_Main]
[PostnatalCare; inCodeSet; _CategoryCodeSet_Services_Main]
[PregnancyTests; inCodeSet; _CategoryCodeSet_Services_Main]
[PrescriptionAssistance; inCodeSet; _CategoryCodeSet_Services_Main]
[PreventAndTreat; inCodeSet; _CategoryCodeSet_Services_Main]
[PrimaryCare; inCodeSet; _CategoryCodeSet_Services_Main]
[Prostheses; inCodeSet; _CategoryCodeSet_Services_Main]
[PsychiatricEmergencyServices; inCodeSet; _CategoryCodeSet_Services_Main]
[Recreation; inCodeSet; _CategoryCodeSet_Services_Main]
[ReliefForCaregivers; inCodeSet; _CategoryCodeSet_Services_Main]
[Representation; inCodeSet; _CategoryCodeSet_Services_Main]
[ResidentialCare; inCodeSet; _CategoryCodeSet_Services_Main]
[ResidentialHousing; inCodeSet; _CategoryCodeSet_Services_Main]
[ResidentialTreatment; inCodeSet; _CategoryCodeSet_Services_Main]
[ResumeDevelopment; inCodeSet; _CategoryCodeSet_Services_Main]
[SafeHousing; inCodeSet; _CategoryCodeSet_Services_Main]
[SafetyEducation; inCodeSet; _CategoryCodeSet_Services_Main]
[ScreeningAndExams; inCodeSet; _CategoryCodeSet_Services_Main]
[SexEducation; inCodeSet; _CategoryCodeSet_Services_Main]
[SexualAndReproductiveHealth; inCodeSet; _CategoryCodeSet_Services_Main]
[ShortTermHousing; inCodeSet; _CategoryCodeSet_Services_Main]
[SkilledNursing; inCodeSet; _CategoryCodeSet_Services_Main]
[SkillsAndTraining; inCodeSet; _CategoryCodeSet_Services_Main]
[SkillsAssessment; inCodeSet; _CategoryCodeSet_Services_Main]
[SoberLiving; inCodeSet; _CategoryCodeSet_Services_Main]
[SpecializedTherapy; inCodeSet; _CategoryCodeSet_Services_Main]
[SpecializedTraining; inCodeSet; _CategoryCodeSet_Services_Main]
[SpeechTherapy; inCodeSet; _CategoryCodeSet_Services_Main]
[SpiritualSupport; inCodeSet; _CategoryCodeSet_Services_Main]
[StdStiTreatmentAndPrevention; inCodeSet; _CategoryCodeSet_Services_Main]
[SubstanceAbuseCounseling; inCodeSet; _CategoryCodeSet_Services_Main]
[SuppliesForSchool; inCodeSet; _CategoryCodeSet_Services_Main]
[SupportAndServiceAnimals; inCodeSet; _CategoryCodeSet_Services_Main]
[SupportedEmployment; inCodeSet; _CategoryCodeSet_Services_Main]
[SupportGroups; inCodeSet; _CategoryCodeSet_Services_Main]
[SupportNetwork; inCodeSet; _CategoryCodeSet_Services_Main]
[TaxPreparation; inCodeSet; _CategoryCodeSet_Services_Main]
[TemporaryShelter; inCodeSet; _CategoryCodeSet_Services_Main]
[ToysAndGifts; inCodeSet; _CategoryCodeSet_Services_Main]
[TranslationAndInterpretation; inCodeSet; _CategoryCodeSet_Services_Main]
[Transportation; inCodeSet; _CategoryCodeSet_Services_Main]
[TransportationForHealthcare; inCodeSet; _CategoryCodeSet_Services_Main]
[Tutoring; inCodeSet; _CategoryCodeSet_Services_Main]
[UnderstandDisability; inCodeSet; _CategoryCodeSet_Services_Main]
[UnderstandGovernmentPrograms; inCodeSet; _CategoryCodeSet_Services_Main]
[UnderstandMentalHealth; inCodeSet; _CategoryCodeSet_Services_Main]
[Vaccinations; inCodeSet; _CategoryCodeSet_Services_Main]
[VirtualSupport; inCodeSet; _CategoryCodeSet_Services_Main]
[VisionCare; inCodeSet; _CategoryCodeSet_Services_Main]
[WeatherRelief; inCodeSet; _CategoryCodeSet_Services_Main]
[WomensHealth; inCodeSet; _CategoryCodeSet_Services_Main]
[YouthDevelopment; inCodeSet; _CategoryCodeSet_Services_Main]
[12Step; inCodeSet; _CategoryCodeSet_Services_Other]
[AddictionAndRecovery; inCodeSet; _CategoryCodeSet_Services_Other]
[AdvocacyAndLegalAid; inCodeSet; _CategoryCodeSet_Services_Other]
[AfterSchoolCare; inCodeSet; _CategoryCodeSet_Services_Other]
[AlternativeEducation; inCodeSet; _CategoryCodeSet_Services_Other]
[AlternativeMedicine; inCodeSet; _CategoryCodeSet_Services_Other]
[AngerManagement; inCodeSet; _CategoryCodeSet_Services_Other]
[BabySupplies; inCodeSet; _CategoryCodeSet_Services_Other]
[BasicLiteracy; inCodeSet; _CategoryCodeSet_Services_Other]
[BeforeSchoolCare; inCodeSet; _CategoryCodeSet_Services_Other]
[BirthControl; inCodeSet; _CategoryCodeSet_Services_Other]
[Books; inCodeSet; _CategoryCodeSet_Services_Other]
[CaseManagement; inCodeSet; _CategoryCodeSet_Services_Other]
[CheckupAndTest; inCodeSet; _CategoryCodeSet_Services_Other]
[Childcare; inCodeSet; _CategoryCodeSet_Services_Other]
[Clothing; inCodeSet; _CategoryCodeSet_Services_Other]
[CollegeReadiness; inCodeSet; _CategoryCodeSet_Services_Other]
[CommunitySupportServices; inCodeSet; _CategoryCodeSet_Services_Other]
[ComputerClass; inCodeSet; _CategoryCodeSet_Services_Other]
[ComputerOrInternetAccess; inCodeSet; _CategoryCodeSet_Services_Other]
[Counseling; inCodeSet; _CategoryCodeSet_Services_Other]
[DailyLifeSkills; inCodeSet; _CategoryCodeSet_Services_Other]
[DayCamp; inCodeSet; _CategoryCodeSet_Services_Other]
[Detox; inCodeSet; _CategoryCodeSet_Services_Other]
[DiapersAndFormula; inCodeSet; _CategoryCodeSet_Services_Other]
[DisasterResponse; inCodeSet; _CategoryCodeSet_Services_Other]
[DiseaseScreening; inCodeSet; _CategoryCodeSet_Services_Other]
[DrugTesting; inCodeSet; _CategoryCodeSet_Services_Other]
[EarlyChildhoodIntervention; inCodeSet; _CategoryCodeSet_Services_Other]
[EmergencyFood; inCodeSet; _CategoryCodeSet_Services_Other]
[ExerciseAndFitness; inCodeSet; _CategoryCodeSet_Services_Other]
[FamilyCounseling; inCodeSet; _CategoryCodeSet_Services_Other]
[FamilyPlanning; inCodeSet; _CategoryCodeSet_Services_Other]
[FinancialAssistance; inCodeSet; _CategoryCodeSet_Services_Other]
[FinancialEducation; inCodeSet; _CategoryCodeSet_Services_Other]
[FoodDelivery; inCodeSet; _CategoryCodeSet_Services_Other]
[FoodPantry; inCodeSet; _CategoryCodeSet_Services_Other]
[GedHighSchoolEquivalency; inCodeSet; _CategoryCodeSet_Services_Other]
[GovernmentBenefits; inCodeSet; _CategoryCodeSet_Services_Other]
[GroupTherapy; inCodeSet; _CategoryCodeSet_Services_Other]
[HealthEducation; inCodeSet; _CategoryCodeSet_Services_Other]
[HealthInsurance; inCodeSet; _CategoryCodeSet_Services_Other]
[HelpFillOutForms; inCodeSet; _CategoryCodeSet_Services_Other]
[HelpFindHealthcare; inCodeSet; _CategoryCodeSet_Services_Other]
[HelpFindHousing; inCodeSet; _CategoryCodeSet_Services_Other]
[HelpFindSchool; inCodeSet; _CategoryCodeSet_Services_Other]
[HelpFindWork; inCodeSet; _CategoryCodeSet_Services_Other]
[HelpHotlines; inCodeSet; _CategoryCodeSet_Services_Other]
[HelpPayForHousing; inCodeSet; _CategoryCodeSet_Services_Other]
[HelpPayForTransit; inCodeSet; _CategoryCodeSet_Services_Other]
[HomeGoods; inCodeSet; _CategoryCodeSet_Services_Other]
[HospitalTreatment; inCodeSet; _CategoryCodeSet_Services_Other]
[HousingAdvice; inCodeSet; _CategoryCodeSet_Services_Other]
[ImmediateSafety; inCodeSet; _CategoryCodeSet_Services_Other]
[IndividualCounseling; inCodeSet; _CategoryCodeSet_Services_Other]
[InHomeSupport; inCodeSet; _CategoryCodeSet_Services_Other]
[Insurance; inCodeSet; _CategoryCodeSet_Services_Other]
[InterviewTraining; inCodeSet; _CategoryCodeSet_Services_Other]
[Meals; inCodeSet; _CategoryCodeSet_Services_Other]
[MedicalCare; inCodeSet; _CategoryCodeSet_Services_Other]
[MedicationsForAddiction; inCodeSet; _CategoryCodeSet_Services_Other]
[MedicationsForMentalHealth; inCodeSet; _CategoryCodeSet_Services_Other]
[MentalHealthCare; inCodeSet; _CategoryCodeSet_Services_Other]
[MentalHealthEvaluation; inCodeSet; _CategoryCodeSet_Services_Other]
[Mentoring; inCodeSet; _CategoryCodeSet_Services_Other]
[MoreEducation; inCodeSet; _CategoryCodeSet_Services_Other]
[NavigatingTheSystem; inCodeSet; _CategoryCodeSet_Services_Other]
[NutritionEducation; inCodeSet; _CategoryCodeSet_Services_Other]
[OccupationalTherapy; inCodeSet; _CategoryCodeSet_Services_Other]
[OneOnOneSupport; inCodeSet; _CategoryCodeSet_Services_Other]
[OutpatientTreatment; inCodeSet; _CategoryCodeSet_Services_Other]
[ParentingEducation; inCodeSet; _CategoryCodeSet_Services_Other]
[PeerRecoveryCoaching; inCodeSet; _CategoryCodeSet_Services_Other]
[PeerSupport; inCodeSet; _CategoryCodeSet_Services_Other]
[PersonalCareItems; inCodeSet; _CategoryCodeSet_Services_Other]
[PersonalHygiene; inCodeSet; _CategoryCodeSet_Services_Other]
[PhysicalSafety; inCodeSet; _CategoryCodeSet_Services_Other]
[PrescriptionAssistance; inCodeSet; _CategoryCodeSet_Services_Other]
[Recreation; inCodeSet; _CategoryCodeSet_Services_Other]
[ResidentialTreatment; inCodeSet; _CategoryCodeSet_Services_Other]
[ResumeDevelopment; inCodeSet; _CategoryCodeSet_Services_Other]
[SafetyEducation; inCodeSet; _CategoryCodeSet_Services_Other]
[ScreeningAndExams; inCodeSet; _CategoryCodeSet_Services_Other]
[SexEducation; inCodeSet; _CategoryCodeSet_Services_Other]
[SexualAndReproductiveHealth; inCodeSet; _CategoryCodeSet_Services_Other]
[SkillsAndTraining; inCodeSet; _CategoryCodeSet_Services_Other]
[SpecializedTraining; inCodeSet; _CategoryCodeSet_Services_Other]
[SpiritualSupport; inCodeSet; _CategoryCodeSet_Services_Other]
[StdStiTreatmentAndPrevention; inCodeSet; _CategoryCodeSet_Services_Other]
[SubstanceAbuseCounseling; inCodeSet; _CategoryCodeSet_Services_Other]
[SuppliesForSchool; inCodeSet; _CategoryCodeSet_Services_Other]
[SupportedEmployment; inCodeSet; _CategoryCodeSet_Services_Other]
[SupportGroups; inCodeSet; _CategoryCodeSet_Services_Other]
[SupportNetwork; inCodeSet; _CategoryCodeSet_Services_Other]
[TemporaryShelter; inCodeSet; _CategoryCodeSet_Services_Other]
[ToysAndGifts; inCodeSet; _CategoryCodeSet_Services_Other]
[TranslationAndInterpretation; inCodeSet; _CategoryCodeSet_Services_Other]
[Transportation; inCodeSet; _CategoryCodeSet_Services_Other]
[TransportationForHealthcare; inCodeSet; _CategoryCodeSet_Services_Other]
[Tutoring; inCodeSet; _CategoryCodeSet_Services_Other]
[UnderstandMentalHealth; inCodeSet; _CategoryCodeSet_Services_Other]
[VirtualSupport; inCodeSet; _CategoryCodeSet_Services_Other]
[WeatherRelief; inCodeSet; _CategoryCodeSet_Services_Other]
[AmericanSignLanguage; inCodeSet; _CategoryCodeSet_Languages]
[Arabic; inCodeSet; _CategoryCodeSet_Languages]
[Armenian; inCodeSet; _CategoryCodeSet_Languages]
[Chinese; inCodeSet; _CategoryCodeSet_Languages]
[English; inCodeSet; _CategoryCodeSet_Languages]
[French; inCodeSet; _CategoryCodeSet_Languages]
[German; inCodeSet; _CategoryCodeSet_Languages]
[Gujarati; inCodeSet; _CategoryCodeSet_Languages]
[Haitian; inCodeSet; _CategoryCodeSet_Languages]
[Hebrew; inCodeSet; _CategoryCodeSet_Languages]
[Hindi; inCodeSet; _CategoryCodeSet_Languages]
[Indonesian; inCodeSet; _CategoryCodeSet_Languages]
[InterpretationServicesAvailable; inCodeSet; _CategoryCodeSet_Languages]
[Khmer; inCodeSet; _CategoryCodeSet_Languages]
[Kinyarwanda; inCodeSet; _CategoryCodeSet_Languages]
[Korean; inCodeSet; _CategoryCodeSet_Languages]
[Nepali; inCodeSet; _CategoryCodeSet_Languages]
[Persian; inCodeSet; _CategoryCodeSet_Languages]
[Portuguese; inCodeSet; _CategoryCodeSet_Languages]
[Punjabi; inCodeSet; _CategoryCodeSet_Languages]
[Russian; inCodeSet; _CategoryCodeSet_Languages]
[Spanish; inCodeSet; _CategoryCodeSet_Languages]
[Swahili; inCodeSet; _CategoryCodeSet_Languages]
[Turkish; inCodeSet; _CategoryCodeSet_Languages]
[Ukrainian; inCodeSet; _CategoryCodeSet_Languages]
[Vietnamese; inCodeSet; _CategoryCodeSet_Languages]
[Yoruba; inCodeSet; _CategoryCodeSet_Languages]
[Available; inCodeSet; __CategoryCodeSet_Availability]
[Full; inCodeSet; __CategoryCodeSet_Availability]
[NearCapacity; inCodeSet; __CategoryCodeSet_Availability]
[NotSpecified; inCodeSet; __CategoryCodeSet_Availability]
[TemporarilyClosed; inCodeSet; __CategoryCodeSet_Availability]
[Waitlist; inCodeSet; __CategoryCodeSet_Availability]
[Free; inCodeSet; __CategoryCodeSet_Cost]
[NotSpecified; inCodeSet; __CategoryCodeSet_Cost]
[ReducedCost; inCodeSet; __CategoryCodeSet_Cost]
[SlidingScale; inCodeSet; __CategoryCodeSet_Cost]
[P-Behavior Health Rehabilitative Services (Community Council Health Systems); servicePhone; Behavior Health Rehabilitative Services (Community Council Health Systems)]
[P-Children's Blended Case Management (The Consortium, Inc.); servicePhone; Children's Blended Case Management (The Consortium, Inc.)]
[P-Food Pantry (Mizpah Seventh Day Adventist Church); servicePhone; Food Pantry (Mizpah Seventh Day Adventist Church)]
[P-Rearing Successful Sons RSS (Presbytery of Philadelphia); servicePhone; Rearing Successful Sons RSS (Presbytery of Philadelphia)]
[P-Addiction Services (University of Pennsylvania Perelman School of Medicine); servicePhone; Addiction Services (University of Pennsylvania Perelman School of Medicine)]
[P-Behavioral Health Services (Sayre Health Center); servicePhone; Behavioral Health Services (Sayre Health Center)]
[P-Coffee House (Catholic Social Services of the Archdiocese of Philadelphia - Saint John's Hospice); servicePhone; Coffee House (Catholic Social Services of the Archdiocese of Philadelphia - Saint John's Hospice)]
[P-Center for the Treatment and Study of Anxiety (University of Pennsylvania Perelman School of Medicine); servicePhone; Center for the Treatment and Study of Anxiety (University of Pennsylvania Perelman School of Medicine)]
[P-Social Services Program (Salvation Army Eastern Pennsylvania and Delaware)_v1; servicePhone; Social Services Program (Salvation Army Eastern Pennsylvania and Delaware)_v1]
[P-Mental Health Case Management (African Cultural Alliance of North America Inc. ACANA); servicePhone; Mental Health Case Management (African Cultural Alliance of North America Inc. ACANA)]
[P-Navigation Center (Horizon House); servicePhone; Navigation Center (Horizon House)]
[P-Clinical Services (Cohen Veteran's Network); servicePhone; Clinical Services (Cohen Veteran's Network)]
[P-Food Pantries (Catholic Social Services - Philadelphia)_v2; servicePhone; Food Pantries (Catholic Social Services - Philadelphia)_v2]
[P-Fatherhood Enrichment Program FEP (City of Philadelphia - Mayor's Office of Reintegration Services); servicePhone; Fatherhood Enrichment Program FEP (City of Philadelphia - Mayor's Office of Reintegration Services)]
[P-Center City Philadelphia Vet Center (Center City Philadelphia Vet Center); servicePhone; Center City Philadelphia Vet Center (Center City Philadelphia Vet Center)]
[P-Anxiety Behaviors Clinic ABC (Children's Hospital of Philadelphia); servicePhone; Anxiety Behaviors Clinic ABC (Children's Hospital of Philadelphia)]
[P-Intensive Behavioral Health Services IBHS (Gemma Services); servicePhone; Intensive Behavioral Health Services IBHS (Gemma Services)]
[P-GrandFamily Resource Center (Connectedly); servicePhone; GrandFamily Resource Center (Connectedly)]
[P-Food Distribution (Mighty Writers); servicePhone; Food Distribution (Mighty Writers)]
[P-Behavioral Health (The Health Annex); servicePhone; Behavioral Health (The Health Annex)]
[P-Psychology Services (Children's Hospital of Philadelphia); servicePhone; Psychology Services (Children's Hospital of Philadelphia)]
[P-Food Pantry (Grace Community Christian Center); servicePhone; Food Pantry (Grace Community Christian Center)]
[P-Food for Hope Pantry (Memorial Presbyterian Church of Fox Chase); servicePhone; Food for Hope Pantry (Memorial Presbyterian Church of Fox Chase)]
[P-Food Pantry (Star of Hope Baptist Church); servicePhone; Food Pantry (Star of Hope Baptist Church)]
[P-Food Pantry (East Park Revitalization Alliance); servicePhone; Food Pantry (East Park Revitalization Alliance)]
[P-Food Cupboard (Berean Presbyterian Church); servicePhone; Food Cupboard (Berean Presbyterian Church)]
[P-Homeless Shelter (Stenton Family Manor); servicePhone; Homeless Shelter (Stenton Family Manor)]
[P-Maria de los Santos Health Center (Delaware Valley Community Health, Inc.); servicePhone; Maria de los Santos Health Center (Delaware Valley Community Health, Inc.)]
[P-Multiple Pathways (The School District of Philadelphia); servicePhone; Multiple Pathways (The School District of Philadelphia)]
[P-Cooling Centers (City of Philadelphia - Office of Emergency Management); servicePhone; Cooling Centers (City of Philadelphia - Office of Emergency Management)]
[P-Counseling Services (Springfield Psychological); servicePhone; Counseling Services (Springfield Psychological)]
[P-Addiction Recovery Services (Merakey - Pennsylvania); servicePhone; Addiction Recovery Services (Merakey - Pennsylvania)]
[P-Clinical Services (University of Pennsylvania - Department of Psychiatry Penn Center for Women's Behavioral Wellness); servicePhone; Clinical Services (University of Pennsylvania - Department of Psychiatry Penn Center for Women's Behavioral Wellness)]
[P-Children's Outpatient Services COS (Community Council Health Systems); servicePhone; Children's Outpatient Services COS (Community Council Health Systems)]
[P-Mitzvah Food Program (Jewish Federation of Greater Philadelphia); servicePhone; Mitzvah Food Program (Jewish Federation of Greater Philadelphia)]
[P-Grocery, Clothing, and Book Give A Way (Ujima Friends Peace Center); servicePhone; Grocery, Clothing, and Book Give A Way (Ujima Friends Peace Center)]
[P-Annex West Health Clinic (Family Practice & Counseling Network FPCN); servicePhone; Annex West Health Clinic (Family Practice & Counseling Network FPCN)]
[Food with Love (Iglesia Cristiana Avivamiento)_5390458589806592; servicePhone; Food with Love (Iglesia Cristiana Avivamiento)_5390458589806592]
[P-Philadelphia Partnership for Resilience PPR (Nationalities Service Center); servicePhone; Philadelphia Partnership for Resilience PPR (Nationalities Service Center)]
[P-Mental Health & Substance Abuse program (Pathways to Housing PA PTHPA); servicePhone; Mental Health & Substance Abuse program (Pathways to Housing PA PTHPA)]
[P-Child & Family Outpatient Center (WES Health System); servicePhone; Child & Family Outpatient Center (WES Health System)]
[P-Zion Cares (Zion Baptist Church of Philadelphia); servicePhone; Zion Cares (Zion Baptist Church of Philadelphia)]
[P-Food Pantry (Parkside Association of Philadelphia); servicePhone; Food Pantry (Parkside Association of Philadelphia)]
[P-Food Pantry (St. Barbara's Roman Catholic Church); servicePhone; Food Pantry (St. Barbara's Roman Catholic Church)]
[P-Siloam Food Pantry (Siloam Wellness); servicePhone; Siloam Food Pantry (Siloam Wellness)]
[P-Substance Use Treatment (APM); servicePhone; Substance Use Treatment (APM)]
[P-Mobile Psychiatric Rehabilitation Services MPRS (JEVS Human Services); servicePhone; Mobile Psychiatric Rehabilitation Services MPRS (JEVS Human Services)]
[P-Autism Services (SPIN); servicePhone; Autism Services (SPIN)]
[P-Primary Care (Family Practice & Counseling Network); servicePhone; Primary Care (Family Practice & Counseling Network)]
[P-Food Cupboard (Saint Gabriel Catholic Church); servicePhone; Food Cupboard (Saint Gabriel Catholic Church)]
[P-Crossroads Treatment Center of Philadelphia Girard Ave (ARS Treatment Centers, P.C.); servicePhone; Crossroads Treatment Center of Philadelphia Girard Ave (ARS Treatment Centers, P.C.)]
[P-Behavioral Health Outpatient Services (John F. Kennedy Behavioral Health Center); servicePhone; Behavioral Health Outpatient Services (John F. Kennedy Behavioral Health Center)]
[P-Red Shield Family Residence (The Salvation Army - Greater Philadelphia); servicePhone; Red Shield Family Residence (The Salvation Army - Greater Philadelphia)]
[P-Food Pantry (The Salvation Army West Philadelphia Corps Community Center); servicePhone; Food Pantry (The Salvation Army West Philadelphia Corps Community Center)]
[P-Temple Corps Community Center Food Pantry (The Salvation Army - Greater Philadelphia); servicePhone; Temple Corps Community Center Food Pantry (The Salvation Army - Greater Philadelphia)]
[P-Food Pantry (Philadelphia Episcopal Cathedral); servicePhone; Food Pantry (Philadelphia Episcopal Cathedral)]
[P-Greenridge Counseling Center (Intercommunity Action, Inc. Interact); servicePhone; Greenridge Counseling Center (Intercommunity Action, Inc. Interact)]
[P-Child Outpatient Behavioral Health Services (Merakey - Pennsylvania); servicePhone; Child Outpatient Behavioral Health Services (Merakey - Pennsylvania)]
[P-Residential Rehabilitation Program (The Kirkbride Center); servicePhone; Residential Rehabilitation Program (The Kirkbride Center)]
[P-Hub of Hope (Project HOME); servicePhone; Hub of Hope (Project HOME)]
[P-Adult Inpatient Mental Health Services (Belmont Behavioral Health System); servicePhone; Adult Inpatient Mental Health Services (Belmont Behavioral Health System)]
[P-Bureau of Blindness and Visual Services BBVS for Children (Pennsylvania Office of Vocational Rehabilitation); servicePhone; Bureau of Blindness and Visual Services BBVS for Children (Pennsylvania Office of Vocational Rehabilitation)]
[P-Mental Health Counseling (The Attic Youth Center); servicePhone; Mental Health Counseling (The Attic Youth Center)]
[P-Counseling Program (Feast of Justice); servicePhone; Counseling Program (Feast of Justice)]
[P-Therapy (Modern Intervention Strategies); servicePhone; Therapy (Modern Intervention Strategies)]
[P-Latina Domestic Violence Program (Congreso de Latinos Unidos, Inc.); servicePhone; Latina Domestic Violence Program (Congreso de Latinos Unidos, Inc.)]
